species,longitude,latitude,thin_factor
Cynomys mexicanus,-100.652296,24.748981,1
Cynomys mexicanus,-100.649287,24.790637,1
Cynomys mexicanus,-100.644112,24.746227,1
Cynomys mexicanus,-100.64241,24.858492,1
Cynomys mexicanus,-100.633938,24.781677,1
Cynomys mexicanus,-100.630151,25.019046,1
Cynomys mexicanus,-100.623469,25.006168,1
Cynomys mexicanus,-100.616334,24.872798,1
Cynomys mexicanus,-100.616046,25.140079,1
Cynomys mexicanus,-100.615469,24.766972,1
Cynomys mexicanus,-100.615184,25.077747,1
Cynomys mexicanus,-100.614809,25.076316,1
Cynomys mexicanus,-100.61369,24.755415,1
Cynomys mexicanus,-100.613565,25.076022,1
Cynomys mexicanus,-100.613077,24.764559,1
Cynomys mexicanus,-100.611224,24.765039,1
Cynomys mexicanus,-100.608663,24.996541,1
Cynomys mexicanus,-100.608504,25.078632,1
Cynomys mexicanus,-100.608298,25.348478,1
Cynomys mexicanus,-100.603359,24.713134,1
Cynomys mexicanus,-100.595076,25.023115,1
Cynomys mexicanus,-100.593705,25.019004,1
Cynomys mexicanus,-100.586598,25.022691,1
Cynomys mexicanus,-100.582709,25.025432,1
Cynomys mexicanus,-100.581548,25.021427,1
Cynomys mexicanus,-100.578461,25.026434,1
Cynomys mexicanus,-100.578364,25.047472,1
Cynomys mexicanus,-100.577939,25.022016,1
Cynomys mexicanus,-100.577526,25.015637,1
Cynomys mexicanus,-100.575482,25.050754,1
Cynomys mexicanus,-100.571175,25.028615,1
Cynomys mexicanus,-100.511131,24.48336,1
Cynomys mexicanus,-100.504308,25.164533,1
Cynomys mexicanus,-100.503948,24.982287,1
Cynomys mexicanus,-100.500365,24.309284,1
Cynomys mexicanus,-100.493318,25.112382,1
Cynomys mexicanus,-100.489566,24.416126,1
Cynomys mexicanus,-100.48521,24.928192,1
Cynomys mexicanus,-100.483071,24.924882,1
Cynomys mexicanus,-100.481684,24.914079,1
Cynomys mexicanus,-100.474852,24.932367,1
Cynomys mexicanus,-100.463661,24.840047,1
Cynomys mexicanus,-100.452814,24.929324,1
Cynomys mexicanus,-100.437565,25.009928,1
Cynomys mexicanus,-100.423081,24.879534,1
Cynomys mexicanus,-100.410205,24.896297,1
Cynomys mexicanus,-100.409385,24.875492,1
Cynomys mexicanus,-100.386602,24.451903,1
Cynomys mexicanus,-100.386109,24.451004,1
Cynomys mexicanus,-100.386093,24.449569,1
Cynomys mexicanus,-100.385679,24.450521,1
Cynomys mexicanus,-100.385674,24.450069,1
Cynomys mexicanus,-100.385164,24.439698,1
Cynomys mexicanus,-100.384751,24.448624,1
Cynomys mexicanus,-100.383662,24.466333,1
Cynomys mexicanus,-100.382915,24.457607,1
Cynomys mexicanus,-100.381732,24.445915,1
Cynomys mexicanus,-100.377423,24.442379,1
Cynomys mexicanus,-100.376065,24.446373,1
Cynomys mexicanus,-100.37527,24.443031,1
Cynomys mexicanus,-100.368275,24.587556,1
Cynomys mexicanus,-100.347106,24.531375,1
Cynomys mexicanus,-100.340832,24.645546,1
Cynomys mexicanus,-100.340051,24.490186,1
Cynomys mexicanus,-100.339852,24.48998,1
Cynomys mexicanus,-100.339708,24.487633,1
Cynomys mexicanus,-100.338977,25.076442,1
Cynomys mexicanus,-100.333183,24.510607,1
Cynomys mexicanus,-100.314495,25.096526,1
Cynomys mexicanus,-100.299707,25.095266,1
Cynomys mexicanus,-100.299296,24.717666,1
Cynomys mexicanus,-100.292179,24.57697,1
Cynomys mexicanus,-100.281284,24.456598,1
Cynomys mexicanus,-100.281278,24.407103,1
Cynomys mexicanus,-100.280911,24.769584,1
Cynomys mexicanus,-100.271836,24.703327,1
Cynomys mexicanus,-100.250674,24.644827,1
Cynomys mexicanus,-100.245156,24.560762,1
Cynomys mexicanus,-100.228858,24.706579,1
Cynomys mexicanus,-100.092653,24.963675,1
Cynomys mexicanus,-100.07636,24.821096,1
Cynomys mexicanus,-100.069575,24.664807,1
